Rank,CustomerID,Churn_Probability,MonthlyCharges,CLV,Expected_Loss,Expected_Value_of_Action
44,7181-BQYBV,0.7891107666093167,102.45,2458.8,1940.2655529389879,532.0796658816963
45,7142-HVGBG,0.7836994682774442,103.0,2472.0,1937.305085581842,531.1915256745525
46,9601-BRXPO,0.7673108005598461,104.95,2518.8,1932.7024444501405,529.8107333350422
47,8651-ENBZX,0.7595146491976933,106.0,2544.0,1932.2052675589318,529.6615802676795
48,0201-OAMXR,0.695754143653015,115.55,2773.2,1929.465391178541,528.8396173535623
49,1875-QIVME,0.7695526309962932,104.4,2505.6000000000004,1928.1910722243126,528.4573216672937
50,7599-FKVXZ,0.7562577633707146,106.15,2547.6000000000004,1926.6422779632328,527.9926833889698
51,1571-SAVHK,0.8031417220727747,99.95,2398.8,1926.576362908172,527.9729088724516
52,0655-RBDUG,0.8173860093254579,98.05,2353.2,1923.4727571446674,527.0418271434002
53,4423-YLHDV,0.7667959386544891,104.4,2505.6000000000004,1921.2839038926882,526.3851711678064
54,6543-XRMYR,0.8028599946306001,99.7,2392.8,1921.0833951521001,526.32501854563
55,4021-RQSNY,0.8113842995238665,98.5,2364.0,1918.1124840744203,525.433745222326
56,8168-UQWWF,0.816738170763417,97.85,2348.3999999999996,1918.0279202208083,525.4083760662425
57,8199-ZLLSA,0.6751912127392348,118.35,2840.3999999999996,1917.813120664522,525.3439361993566
58,2612-RANWT,0.7976450262740234,100.15,2403.6000000000004,1917.219585152243,525.1658755456729
59,1455-UGQVH,0.8103134309258676,98.5,2364.0,1915.580950708751,524.6742852126253
60,9851-KIELU,0.7241106890756462,110.1,2642.3999999999996,1913.3900848134874,524.0170254440462
61,0093-XWZFY,0.7624051782815336,104.5,2508.0,1912.1121871300863,523.6336561390259
62,3663-MITLP,0.7863786726435013,101.25,2430.0,1910.900174523708,523.2700523571124
63,9057-SIHCH,0.8234787590949327,96.6,2318.3999999999996,1909.1531550856917,522.7459465257075
64,9172-ANCRX,0.8058137136074139,98.7,2368.8,1908.8115247932424,522.6434574379726
65,6402-ZFPPI,0.773226844777082,102.8,2467.2,1907.7052714340166,522.3115814302049
66,3158-MOERK,0.8277758031665998,96.0,2304.0,1907.195450495846,522.1586351487538
67,4484-GLZOU,0.756404742003695,105.05,2521.2,1907.0476355397157,522.1142906619147
68,6777-TGHTM,0.7427619013758725,106.95,2566.8,1906.5212484515896,521.9563745354768
69,7279-BUYWN,0.7016715700747952,113.2,2716.8,1906.3013215792037,521.890396473761
70,3621-CEOVK,0.7912145152547283,100.2,2404.8,1902.7126662845708,520.8137998853712
71,2454-RPBRZ,0.8081355230808477,98.1,2354.3999999999996,1902.6742755415476,520.8022826624642
72,8625-AZYZY,0.7573663522844918,104.65,2511.6000000000004,1902.2013303977299,520.660399119319
73,0295-PPHDO,0.830262712221647,95.45,2290.8,1901.9658211573492,520.5897463472047
74,7089-IVVAZ,0.766539946958493,103.35,2480.3999999999996,1901.325684435846,520.3977053307538
75,1444-VVSGW,0.6841615052040729,115.65,2775.6000000000004,1898.958673844425,519.6876021533275
76,7851-WZEKY,0.8315569581865372,95.15,2283.6000000000004,1898.9434697147767,519.683040914433
77,0880-TKATG,0.7808114166432873,101.15,2427.6000000000004,1895.4977950432447,518.6493385129734
78,0280-XJGEX,0.7615811862196022,103.7,2488.8,1895.4232562633463,518.6269768790039
79,6108-OQZDQ,0.8045651722496686,97.95,2350.8,1891.371806924521,517.4115420773563
80,5419-CONWX,0.789321625449664,99.8,2395.2,1890.583157277035,517.1749471831105
81,8510-AWCXC,0.780606515603985,100.8,2419.2,1888.4432825491604,516.5329847647481
82,5299-RULOA,0.7840595203756522,100.25,2406.0,1886.4472060238193,515.9341618071458
83,6661-HBGWL,0.74923001796285,104.75,2514.0,1883.564265158605,515.0692795475815
84,9801-GDWGV,0.7579301983612492,103.45,2482.8,1881.7890964913097,514.5367289473929
85,0871-URUWO,0.7667550522205336,102.25,2454.0,1881.6168981491896,514.4850694447568
86,6179-GJPSO,0.7248205858931084,108.15,2595.6000000000004,1881.3443127441524,514.4032938232457
87,0302-JOIVN,0.7748432970275967,101.15,2427.6000000000004,1881.009587864194,514.3028763592581
88,5565-FILXA,0.8150257598360913,96.15,2307.6000000000004,1880.7534433977646,514.2260330193294
89,4009-ALQFH,0.7873022255720329,99.5,2388.0,1880.0777146660146,514.0233143998043
90,9300-AGZNL,0.8328054368370422,94.0,2256.0,1878.8090655043673,513.6427196513101
91,7548-SEPYI,0.8127223833171419,96.25,2310.0,1877.3887054625977,513.2166116387793
92,0337-CNPZE,0.7352448655365705,106.3,2551.2,1875.7567009568986,512.7270102870696
93,3331-HQDTW,0.7114067502991542,109.8,2635.2,1874.6990683883312,512.4097205164993
94,9223-UCPVT,0.8274374986339538,94.4,2265.6000000000004,1874.642396905086,512.3927190715258
95,0754-UKWQP,0.8143321907120272,95.85,2300.3999999999996,1873.2897715139472,511.9869314541842
96,3440-JPSCL,0.7803251312620703,99.95,2398.8,1871.8439248714542,511.55317746143623
97,2720-WGKHP,0.829015792024955,94.0,2256.0,1870.2596268082984,511.07788804248946
98,5130-IEKQT,0.7353641918390756,105.95,2542.8,1869.8840670084016,510.96522010252045
99,9497-QCMMS,0.8328054368370422,93.55,2245.2,1869.8147667865271,510.94443003595813
100,2025-JKFWI,0.7867253110443503,99.0,2376.0,1869.2593390413763,510.77780171241284
101,3387-VATUS,0.8210107805686112,94.85,2276.3999999999996,1868.9489408863863,510.68468226591585
102,8357-EQXFO,0.8157454649140531,95.35,2288.3999999999996,1866.7519219093188,510.02557657279556
103,7526-BEZQB,0.8093105498817756,96.05,2305.2,1865.622679587469,509.6868038762407
104,2446-BEGGB,0.791090674067757,98.25,2358.0,1865.391809451771,509.61754283553125
105,4424-TKOPW,0.8277254825892408,93.85,2252.3999999999996,1864.3688769840057,509.3106630952017
106,4910-GMJOT,0.8208673873986181,94.6,2270.3999999999996,1863.6973163498221,509.10919490494666
107,1866-RZZQS,0.7889886983247628,98.4,2361.6000000000004,1863.2757099637602,508.982712989128
108,2265-CYWIV,0.7794422955262614,99.6,2390.3999999999996,1863.178863225975,508.9536589677924
109,4361-BKAXE,0.6777960008355742,114.5,2748.0,1862.583410296158,508.77502308884743
110,2357-COQEK,0.7511722544081554,103.3,2479.2,1862.3062531286987,508.69187593860954
111,1075-BGWOH,0.7856014650018841,98.75,2370.0,1861.8754720544653,508.56264161633953
112,0564-JJHGS,0.8108218422320501,95.5,2292.0,1858.4036623958589,507.5210987187577
113,4289-DTDKW,0.7637098446953935,101.3,2431.2,1856.7313744234405,507.0194123270321
114,5923-GXUOC,0.7408928033474618,104.4,2505.6000000000004,1856.3810080674004,506.9143024202201
115,3957-LXOLK,0.7286140722180064,106.15,2547.6000000000004,1856.2172103825935,506.86516311477806
116,8098-LLAZX,0.8102353265813012,95.45,2290.8,1856.087086132445,506.82612583973344
117,9734-YWGEX,0.7866764516202054,98.3,2359.2,1855.9270846623883,506.7781253987165
118,3585-ISXZP,0.8083716236824262,95.65,2295.6000000000004,1855.6978993253779,506.70936979761336
119,0576-WNXXC,0.808307802245754,95.55,2293.2,1853.611452109963,506.0834356329889
120,8149-RSOUN,0.8223019458688879,93.85,2252.3999999999996,1852.1529028750829,505.6458708625248
121,7028-DVOIQ,0.7787976082199574,99.05,2377.2,1851.3576742604826,505.4073022781447
122,3685-YLCMQ,0.7370380782249054,104.65,2511.6000000000004,1851.1448372696727,505.34345118090175
123,7641-EUYET,0.7659390947708646,100.7,2416.8,1851.1216042422259,505.3364812726677
124,7056-IMHCC,0.7564405973156137,101.9,2445.6000000000004,1849.9511247950652,504.98533743851954
125,2180-DXNEG,0.8026330995651498,96.0,2304.0,1849.2666613981053,504.77999841943154
126,3006-XIMLN,0.8169353855771335,94.2,2260.8,1846.9275197127836,504.07825591383505
127,7024-OHCCK,0.8199617403348721,93.85,2252.3999999999996,1846.8818239302657,504.0645471790797
128,1450-GALXR,0.7808974812759888,98.5,2364.0,1846.0416457364374,503.81249372093123
129,4626-GYCZP,0.8193165943344459,93.85,2252.3999999999996,1845.4286970789058,503.6286091236717
130,4315-MURBD,0.7773663879664193,98.9,2373.6000000000004,1845.1568584770932,503.54705754312795
131,5590-BYNII,0.7626530542136175,100.75,2418.0,1844.0950850885272,503.2285255265581
132,6521-YYTYI,0.8235467822160126,93.3,2239.2,1844.0859547380953,503.22578642142855
133,9025-AOMKI,0.8211179337186654,93.55,2245.2,1843.5739847851473,503.07219543554413
134,3473-XIIIT,0.7672240516228616,100.0,2400.0,1841.3377238948678,502.4013171684603
135,5178-LMXOP,0.8060959319048134,95.1,2282.3999999999996,1839.833354979546,501.9500064938637
136,5349-IECLD,0.8072112761247574,94.95,2278.8,1839.4730560330972,501.8419168099291
137,2034-CGRHZ,0.7440567817290387,102.95,2470.8,1838.4154962961088,501.52464888883264
138,7029-RPUAV,0.7622336684636236,100.45,2410.8,1837.592927932104,501.27787837963115
139,1771-OADNZ,0.7982748983830501,95.9,2301.6000000000004,1837.3095061184283,501.1928518355285
140,8276-MQBYC,0.7821654616555265,97.8,2347.2,1835.8987715978517,500.76963147935544
141,7943-RQCHR,0.8069651748821982,94.75,2274.0,1835.0388076821187,500.51164230463553
142,4598-XLKNJ,0.7758819112828744,98.5,2364.0,1834.184838272715,500.2554514818145
143,6599-RCLCJ,0.6971602903151648,109.55,2629.2,1832.9738352966313,499.89215058898935
144,3393-FMZPV,0.7617557283788565,100.25,2406.0,1832.7842824795289,499.83528474385867
145,4958-XCBDQ,0.753018839868241,101.4,2433.6000000000004,1832.5466487033516,499.7639946110055
146,5519-NPHVG,0.8101802561671949,94.2,2260.8,1831.6555231427944,499.4966569428383
147,6664-FPDAC,0.681369005327459,111.95,2686.8,1830.702243513817,499.2106730541451
148,3049-SOLAY,0.8010962655991797,95.2,2284.8,1830.3447476410058,499.1034242923017
149,9253-QXKBE,0.8072099374107337,94.45,2266.8,1829.7834861226513,498.9350458367953
150,5236-PERKL,0.674631325332044,112.95,2710.8,1828.7905967101049,498.6371790130314
151,4192-GORJT,0.8066905094965785,94.45,2266.8,1828.6060469268443,498.5818140780533
152,5698-BQJOH,0.8068660763101476,94.4,2265.6000000000004,1828.0357824882708,498.41073474648124
153,8161-QYMTT,0.8091276697485282,94.1,2258.3999999999996,1827.333929360076,498.20017880802277
154,1374-DMZUI,0.8071186931938378,94.3,2263.2,1826.6710264362935,498.00130793088806
155,8245-UMPYT,0.7889672115282667,96.4,2313.6000000000004,1825.354540591798,497.6063621775394
156,9094-AZPHK,0.7591672316482866,100.15,2403.6000000000004,1824.734357989822,497.42030739694655
157,2982-VPSGI,0.8084975983940208,94.0,2256.0,1823.970581976911,497.19117459307324
158,3217-FZDMN,0.8046414974922712,94.45,2266.8,1823.9613465154805,497.1884039546442
159,4817-VYYWS,0.7582767016284464,100.2,2404.8,1823.503812076088,497.05114362282643
160,4391-RESHN,0.7301528442723593,104.05,2497.2,1823.3376827169354,497.00130481508063
161,7881-INRLC,0.7532993733359195,100.85,2420.3999999999996,1823.2858032222591,496.98574096667767
162,6029-WTIPC,0.751434579769299,101.1,2426.3999999999996,1823.2808643522267,496.98425930566793
163,5244-IRFIH,0.8038936085858058,94.5,2268.0,1823.2307042726077,496.96921128178224
164,9158-VCTQB,0.6687051735818944,113.6,2726.3999999999996,1823.1577852536766,496.947335576103
165,3643-AHCFP,0.7932372309466384,95.6,2294.3999999999996,1820.0035026839669,496.00105080519006
166,2889-FPWRM,0.6434711286786908,117.8,2827.2,1819.2215750003945,495.7664725001183
167,0011-IGKFF,0.7726561507615692,98.0,2352.0,1817.287266591211,495.1861799773633
168,5883-GTGVD,0.7574400851607596,99.95,2398.8,1816.9472762836301,495.08418288508904
169,4236-XPXAV,0.7630731087990344,99.15,2379.6000000000004,1815.8087696981827,494.74263090945476
170,0895-DQHEW,0.725357452878766,104.3,2503.2,1815.7147760461269,494.714432813838
171,7783-YKGDV,0.7586064587499258,99.7,2392.8,1815.1935344968226,494.55806034904674
172,6394-MFYNG,0.704003041247929,107.4,2577.6000000000004,1814.638239120662,494.3914717361986
173,7780-OTDSO,0.7604883473009911,99.4,2385.6000000000004,1814.2210013212448,494.26630039637337
174,9661-ACXBS,0.7184352983076272,105.2,2524.8,1813.9054411670973,494.17163235012913
175,2645-QTLMB,0.800704511435853,94.25,2262.0,1811.1936048678995,493.3580814603698
176,9647-ERGBE,0.7536425414145592,100.05,2401.2,1809.6464704446394,492.89394113339176
177,4735-ASGMA,0.7653601405344835,98.35,2360.3999999999996,1806.5560757175947,491.96682271527834
178,7079-QRCBC,0.7620319058461014,98.75,2370.0,1806.0156168552603,491.804685056578
179,0877-SDMBN,0.7236979116675561,103.95,2494.8,1805.4815500282193,491.6444650084658
180,6771-XWBDM,0.7190801802852537,104.5,2508.0,1803.4530921554162,491.0359276466248
181,6892-XPFPU,0.7188429102033524,104.25,2502.0,1798.5449613287878,489.5634883986363
182,0939-YAPAF,0.7473946656384499,100.25,2406.0,1798.2315655261104,489.4694696578331
183,4566-GOLUK,0.6977722696894443,107.35,2576.3999999999996,1797.740475627884,489.32214268836515
184,4658-HCOHW,0.7280932679562353,102.8,2467.2,1796.3517107016237,488.90551321048713
185,2302-ANTDP,0.6365846710667002,117.45,2818.8,1794.4048708028147,488.3214612408444
186,6821-BUXUX,0.7734636861315561,96.65,2319.6000000000004,1794.126366350758,488.2379099052274
187,4060-LDNLU,0.7759157332487743,96.2,2308.8,1791.4342449247702,487.430273477431
188,9412-GHEEC,0.712159435517204,104.8,2515.2,1791.2234122128712,487.36702366386135
189,1984-FCOWB,0.6813391925412096,109.5,2628.0,1790.5593979982987,487.16781939948953
190,7274-RTAPZ,0.8237723933572425,90.55,2173.2,1790.2221652439594,487.06664957318776
191,1254-IZEYF,0.7451818360405238,99.95,2398.8,1787.5421882940086,486.26265648820254
192,5167-ZFFMM,0.8196901906163554,90.85,2180.3999999999996,1787.252491619901,486.1757474859703
193,7055-VKGDA,0.7058042129531149,105.4,2529.6000000000004,1785.4023370861996,485.6207011258599
194,9809-IMGCQ,0.7692961630604662,96.7,2320.8,1785.3825352307301,485.614760569219
195,3838-OZURD,0.7084659209503255,105.0,2520.0,1785.3341207948201,485.600236238446
196,2660-EMUBI,0.7795314675123238,95.35,2288.3999999999996,1783.8798102552016,485.1639430765605
197,8267-ZNYVZ,0.7160527947136858,103.75,2490.0,1782.9714588370775,484.8914376511233
198,5569-OUICF,0.7332041430084615,101.3,2431.2,1782.5659124821714,484.7697737446514
199,3319-DWOEP,0.775246315683811,95.75,2298.0,1781.5160334413977,484.45481003241923
200,3318-OSATS,0.7776487386626542,95.45,2290.8,1781.4377305284083,484.43131915852246
201,5449-FIBXJ,0.718275627906619,103.3,2479.2,1780.7489367060898,484.2246810118269
202,5797-APWZC,0.8189056902140397,90.6,2174.3999999999996,1780.6285328014076,484.1885598404223
203,7294-TMAOP,0.8189056902140397,90.55,2173.2,1779.645845973151,483.8937537919453
204,3886-CERTZ,0.6778353995757668,109.25,2622.0,1777.2844176876604,483.18532530629807
205,0094-OIFMO,0.7792185068576158,95.0,2280.0,1776.6181956353641,482.9854586906092
206,9330-IJWIO,0.7375687747546718,100.35,2408.3999999999996,1776.360637119151,482.90819113574526
207,6393-WRYZE,0.7575309758999135,97.65,2343.6000000000004,1775.3495951190375,482.60487853571124
208,5380-AFSSK,0.7874612175543014,93.9,2253.6000000000004,1774.622599880374,482.3867799641122
209,1010-DIAUQ,0.7659793092196541,96.5,2316.0,1774.0080801527188,482.20242404581563
210,6683-VLCTZ,0.7479493381854486,98.55,2365.2,1769.049774676223,480.7149324028669
211,8443-WVPSS,0.7379308037966441,99.85,2396.3999999999996,1768.3773782182777,480.5132134654833
212,3988-RQIXO,0.807018621099792,91.3,2191.2,1768.3392025538642,480.50176076615924
213,3934-HXCFZ,0.7422481702967956,99.25,2382.0,1768.035141646967,480.4105424940901
214,2403-BCASL,0.6578408627264013,111.95,2686.8,1767.486829973295,480.24604899198846
215,0402-CQAJN,0.7225300444332062,101.9,2445.6000000000004,1767.0194766658494,480.1058429997548
216,2568-OIADY,0.7395553959678727,99.5,2388.0,1766.0582855712798,479.8174856713839
217,8397-MVTAZ,0.7351822357364636,100.05,2401.2,1765.3195844503962,479.5958753351189
218,3870-MQAMG,0.6665032165922691,110.35,2648.3999999999996,1765.1671188229652,479.55013564688954
219,0886-QGENL,0.726163384982525,101.25,2430.0,1764.5770255075356,479.3731076522606
220,9710-ZUSHQ,0.6887255067958523,106.75,2562.0,1764.5147484109737,479.3544245232921
221,4228-ZGYUW,0.815512867347749,90.05,2161.2,1762.4864089119549,478.7459226735864
222,2249-YPRNG,0.6932703947001133,105.85,2540.3999999999996,1761.1841106961676,478.3552332088502
223,3804-RVTGV,0.706386863056679,103.85,2492.3999999999996,1760.5986174824664,478.1795852447399
224,0702-PGIBZ,0.7212702796982213,101.7,2440.8,1760.4764986874188,478.14294960622567
225,3874-EQOEP,0.7717520964255601,95.0,2280.0,1759.594779850277,477.8784339550831
226,4250-ZBWLV,0.6759968597610031,108.45,2602.8,1759.484626585939,477.8453879757817
227,5959-BELXA,0.7623712799858102,96.15,2307.6000000000004,1759.247965695256,477.7743897085768
228,6326-MTTXK,0.7256427326139295,100.85,2420.3999999999996,1756.3456700187548,476.90370100562643
229,6328-ZPBGN,0.7686957046321761,95.15,2283.6000000000004,1755.3935110980376,476.6180533294113
230,0207-MDKNV,0.6958954091279083,105.1,2522.3999999999996,1755.3265799842357,476.59797399527065
231,2506-CLAKW,0.7446350840251647,98.15,2355.6000000000004,1754.062403929678,476.21872117890337
232,4077-CROMM,0.7012718953134575,104.2,2500.8,1753.7407557998945,476.12222673996837
233,2672-HUYVI,0.8020852351197562,91.1,2186.3999999999996,1753.6791580658346,476.10374741975033
234,1658-BYGOY,0.7648287758990854,95.45,2290.8,1752.069759829625,475.62092794888747
235,9692-TUSXH,0.7596629376395214,96.05,2305.2,1751.1750038466246,475.3525011539873
236,8327-LZKAS,0.678431315334412,107.55,2581.2,1751.1669111411843,475.35007334235524
237,4695-WJZUE,0.8234806878742356,88.55,2125.2,1750.0611578703254,475.01834736109754
238,5567-WSELE,0.7704425767242924,94.6,2270.3999999999996,1749.2128261948333,474.76384785844994
239,7330-WZLNC,0.8025743670335592,90.8,2179.2,1748.9700606395322,474.6910181918596
240,1597-LHYNC,0.7667535712713001,95.0,2280.0,1748.198142498564,474.45944274956923
241,8290-YWKHZ,0.7807494124793745,93.2,2236.8,1746.380285833865,473.9140857501594
242,0684-AOSIH,0.7656683357112011,95.0,2280.0,1745.7238054215384,473.7171416264615
243,1567-DSCIC,0.7734139011767611,94.0,2256.0,1744.821761054773,473.4465283164319
244,5099-BAILX,0.6557435825881001,110.75,2658.0,1742.96644251917,472.8899327557509
245,8634-MPHTR,0.7258388768002201,100.05,2401.2,1742.8843109726884,472.86529329180644
246,9101-BWFSS,0.668637610369016,108.55,2605.2,1741.9347025333605,472.58041076000814
247,2886-KEFUM,0.6748100471921263,107.5,2580.0,1741.009921755686,472.30297652670583
248,6210-KBBPI,0.7287556439854764,99.45,2386.8,1739.3939710645352,471.8181913193605
249,5536-RTPWK,0.7312552635846099,99.05,2377.2,1738.3400125933344,471.50200377800036
250,1273-MTETI,0.8150157161656789,88.85,2132.3999999999996,1737.9395131516935,471.38185394550806
251,3757-NJYBX,0.6803756214852275,106.35,2552.3999999999996,1736.5907362788944,470.97722088366834
252,0979-PHULV,0.7273907144441489,99.45,2386.8,1736.1361572352948,470.8408471705884
253,1587-FKLZB,0.7269276969219158,99.5,2388.0,1735.903340249535,470.77100207486046
254,3336-JORSO,0.6545881775145128,110.45,2650.8,1735.1823409554706,470.55470228664115
255,9944-HKVVB,0.7602209037417433,95.1,2282.3999999999996,1735.1281907001546,470.5384572100463
256,7209-JCUDS,0.7616985665839817,94.9,2277.6000000000004,1734.844655251677,470.4533965755031
257,7295-JOMMD,0.7359003143270625,98.1,2354.3999999999996,1732.6037000516355,469.78111001549064
258,8429-XIBUM,0.7121944076297364,101.35,2432.3999999999996,1732.3416771185705,469.7025031355711
259,1731-TVIUK,0.7718886304630006,93.5,2244.0,1732.1180867589733,469.635426027692
260,1624-NALOJ,0.8035291447789945,89.8,2155.2,1731.7660128276889,469.52980384830664
261,3424-NMNBO,0.6628639277538241,108.85,2612.3999999999996,1731.6657248640897,469.4997174592269
262,3722-WPXTK,0.8163786532989153,88.35,2120.3999999999996,1731.0492964550199,469.3147889365059
263,4659-NZRUF,0.7579380175406337,95.15,2283.6000000000004,1730.8272568557913,469.2481770567374
264,2034-GDRCN,0.7977226466588234,90.4,2169.6000000000004,1730.7390541909836,469.22171625729504
265,8374-XGEJJ,0.7134911011074113,101.0,2424.0,1729.502429084365,468.8507287253095
266,4902-OHLSK,0.7302507155452405,98.65,2367.6000000000004,1728.9415941249115,468.68247823747345
267,7480-QNVZJ,0.75267463521966,95.7,2296.8,1728.7431021725154,468.6229306517546
268,0952-KMEEH,0.7336144430405822,98.15,2355.6000000000004,1728.1021820263957,468.43065460791865
269,2719-BDAQO,0.7666243071597589,93.85,2252.3999999999996,1726.7445894466407,468.0233768339922
270,5385-SUIRI,0.6901435159520094,104.2,2500.8,1725.9109046927852,467.7732714078355
271,0023-XUOPT,0.7641594627599375,94.1,2258.3999999999996,1725.7777306970427,467.7333192091128
272,1626-ERCMM,0.7598702846842322,94.55,2269.2,1724.2976500054597,467.2892950016379
273,5095-AESKG,0.7851190317630914,91.5,2196.0,1724.1213937517487,467.23641812552455
274,3068-OMWZA,0.8083887264519423,88.8,2131.2,1722.8380538143792,466.8514161443137
275,3398-FSHON,0.7856582129066032,91.3,2191.2,1721.5342761209488,466.4602828362846
276,8922-LIEGH,0.797963850227849,89.7,2152.8,1717.8565767705134,465.356973031154
277,1415-YFWLT,0.8015128077582527,89.3,2143.2,1717.802249587487,465.3406748762461
278,7218-HKQFK,0.7592496412097229,94.2,2260.8,1716.5115888469418,464.95347665408246
279,3793-MMFUH,0.7520934468791637,95.05,2281.2,1715.675571020748,464.7026713062244
280,7207-RMRDB,0.6775859489202305,105.5,2532.0,1715.6476226660236,464.69428679980706
281,7067-KSAZT,0.6723596895291133,106.25,2550.0,1714.517208299239,464.3551624897717
282,7774-OJSXI,0.6903469851326558,103.45,2482.8,1713.993494687358,464.19804840620736
283,8019-ENHXU,0.7177553218993336,99.45,2386.8,1713.1384023093294,463.9415206927988
284,6474-FVJLC,0.8289348116470157,86.0,2064.0,1710.9214512394403,463.2764353718321
285,4929-XIHVW,0.7464746943146601,95.5,2292.0,1710.919999369201,463.27599981076025
286,9451-LPGOO,0.8211030147401879,86.8,2083.2,1710.5218003067591,463.15654009202774
287,1143-NMNQJ,0.8315164077387829,85.7,2056.8,1710.2629474371288,463.07888423113866
288,5649-ANRML,0.7490998190657903,95.1,2282.3999999999996,1709.7454270357593,462.9236281107278
289,4145-UQXUQ,0.7731068077741845,92.1,2210.3999999999996,1708.8752879040571,462.6625863712171
290,5980-NOPLP,0.7407977516104103,96.1,2306.3999999999996,1708.57593431425,462.57278029427493
291,8063-RJYNF,0.7550780785727813,94.25,2262.0,1707.9866137316312,462.3959841194893
292,6305-YLBMM,0.6838518695108771,104.05,2497.2,1707.714888542562,462.31446656276853
293,7779-LGOVN,0.820725732978471,86.65,2079.6000000000004,1706.7812343020285,462.03437029060854
294,4612-THJBS,0.6787276468055694,104.75,2514.0,1706.3213040692015,461.8963912207604
295,6005-OBZPH,0.7973908230942156,89.15,2139.6000000000004,1706.097405092384,461.82922152771516
